country_name,iso3_code,region_simplified,capital,population,population_density,gender_distribution,average_monthly_salary,median_monthly_salary,literacy_rate,official_languages_top3_with_pct,religions_top3_with_pct,biggest_trading_partner_export,biggest_trading_partner_import,english_literacy_rate,life_expectancy_male,life_expectancy_female
"Afghanistan",AFG,"Middle East & North Africa","Kabul",43844111.0,67.22,"male 50.5%; female 49.5%",185.00,140.00,37.27,"Afghan Persian or Dari 77%; Pashto 48%; Uzbek 11%","Muslim 99.7%; other 0.3%","India (56.5%)","China (21%)",6.0,64.704,67.812
"Albania",ALB,"Europe & Central Asia","Tirane",2349580.0,85.75,"male 49.4%; female 50.6%",754.13,293.70,97.68,"Albanian 98.8%; other 0.6%; Greek 0.5%","Muslim 56.7%; unspecified 16.2%; Roman Catholic 10%","Italy (53.4%)","Italy (28.5%)",40.0,76.5,81.593
"Algeria",DZA,"Middle East & North Africa","Algiers",47435312.0,19.92,"male 51.0%; female 49.0%",304.47,250.00,75.14,"Arabic; French; Berber or Tamazight ; dialects include Kabyle Berber","Muslim 99%; other 1%","Italy (17.4%)","China (18.2%)",7.0,75.096,77.912
"Armenia",ARM,"Europe & Central Asia","Yerevan",3086700.0,109.46,"male 46.4%; female 53.6%",727.56,520.00,99.84,"Armenian 97.9%; Kurdish 1%; other 1%","Armenian Apostolic 92.6%; unspecified 2.9%; other 2.4%","Russia (24.2%)","Russia (28%)",4.93,72.4,81.7
"Azerbaijan",AZE,"Europe & Central Asia","Baku",10246996.0,123.98,"male 49.0%; female 51.0%",431.71,340.00,99.78,"Azerbaijani 92.5%; other 4.7%; Russian 1.4%","Muslim 96.9%; Christian 3%; other 0.1%","Italy (23.2%)","Russia (17.7%)",1.29,71.706,77.285
"Bahrain",BHR,"Middle East & North Africa","Manama",1600366.0,2000.46,"male 62.0%; female 38.0%",2267.22,1800.00,97.82,"Arabic; English; Farsi","Muslim 73.7%; other 16.9%; Christian 9.3%","UAE (19.6%)","China (8.8%)",65.0,80.855,82.127
"Belarus",BLR,"Europe & Central Asia","Minsk",9085991.0,44.76,"male 46.6%; female 53.4%",710.99,580.00,99.87,"Russian 70.2%; Belarusian 23.4%; unspecified 3.3%","Orthodox 48.3%; non-believers 41.1%; Catholic 7.1%","Russia (43.9%)","Russia (57.2%)",53.3,69.739,79.223
"Bulgaria",BGR,"Europe & Central Asia","Sofia",6433302.0,59.26,"male 48.4%; female 51.6%",1172.21,905.40,98.35,"Bulgarian 76.8%; unspecified 10.5%; Turkish 8.2%","Eastern Orthodox 59.4%; unspecified 27.4%; Muslim 7.8%","Germany (13.5%)","Germany (12.3%)",24.87,72.2,79.5
"Djibouti",DJI,"Middle East & North Africa","Djibouti",1184076.0,51.08,"male 49.6%; female 50.4%",400.00,300.00,52.80,"French; Arabic; Somali","Sunni Muslim 94%; Christian 6%","Ethiopia (38.8%)","UAE (25%)",12.0,63.726,68.741
"Egypt, Arab Rep.",EGY,"Middle East & North Africa","Cairo",118365995.0,118.91,"male 50.6%; female 49.4%",284.00,240.00,79.45,"Arabic 98%; English 35%; French 10%","Muslim 90%; Christian 10%","Turkey (9.1%)","China (13.2%)",35.0,69.652,74.009
"Estonia",EST,"Europe & Central Asia","Tallinn",1366475.0,31.98,"male 47.6%; female 52.4%",3418.25,1095.60,99.89,"Estonian 68.5%; Russian 29.6%; other 1.2%","none 54.1%; unspecified 16.7%; Orthodox 16.2%","Finland (16.2%)","Finland (14%)",46.74,75.1,83.7
"Georgia",GEO,"Europe & Central Asia","Tbilisi",3935766.0,56.64,"male 46.6%; female 53.4%",572.31,450.00,99.68,"Georgian 87.6%; Azeri 6.2%; Armenian 3.9%","Orthodox 83.4%; Muslim 10.7%; Armenian Apostolic 2.9%","Russia (14.5%)","Turkey (17.2%)",20.0,69.747,79.233
"Germany",DEU,"Europe & Central Asia","Berlin",83491249.0,238.94,"male 49.4%; female 50.6%",6357.08,1925.40,99.0,"German","none 37.8%; Roman Catholic 27.7%; Protestant 25.5%","US (8.8%)","Netherlands (13.8%)",54.77,78.5,83.2
"Hungary",HUN,"Europe & Central Asia","Budapest",9514251.0,104.25,"male 48.1%; female 51.9%",3262.08,664.20,98.86,"Hungarian 99.6%; English 16%; German 11.2%","Roman Catholic 37.2%; no response 27.2%; none 18.2%","Germany (27.7%)","Germany (26.2%)",25.29,73.7,79.9
"Iran, Islamic Rep.",IRN,"Middle East & North Africa","Tehran",92400000.0,56.12,"male 50.8%; female 49.2%",450.00,380.00,88.92,"Persian 53%; Azerbaijani Turkic 18%; Kurdish 10%","Muslim 99.4%; other 0.6%","China (36%)","China (28.4%)",15.0,76.003,79.81
"Iraq",IRQ,"Middle East & North Africa","Baghdad",47020774.0,108.31,"male 50.2%; female 49.8%",572.08,450.00,84.06,"Arabic; Kurdish; Turkmen","Muslim 95%; Christian 1%; other 1%","India (21.2%)","Turkey (27.8%)",34.7,70.503,74.184
"Israel",ISR,"Middle East & North Africa","Jerusalem",10122800.0,467.78,"male 49.8%; female 50.2%",4785.50,1124.40,91.75,"Hebrew; Arabic; English","Jewish 74.3%; Muslim 17.8%; other 4.4%","US (28.8%)","US (11.7%)",33.0,81.1,85.4
"Jordan",JOR,"Middle East & North Africa","Amman",11520684.0,129.75,"male 50.8%; female 49.2%",771.42,610.00,94.44,"Arabic; English","Muslim 97.2%; Christian 2.2%; Buddhist 0.4%","US (24.9%)","China (13.6%)",45.0,75.892,80.335
